ID,Name,isCounty
1,Aberavon,1
2,Aberconwy,1
3,Aberdeen North,0
4,Aberdeen South,0
5,Airdrie and Shotts,1
6,Aldershot,0
7,Aldridge-Brownhills,0
8,Altrincham and Sale West,0
9,Alyn and Deeside,1
10,Amber Valley,1
11,Angus,1
12,Arfon,1
13,Argyll and Bute,1
14,Arundel and South Downs,1
15,Ashfield,1
16,Ashford,1
17,Ashton-Under-Lyne,0
18,Aylesbury,1
19,"Ayr, Carrick and Cumnock",1
20,Banbury,1
21,Banff and Buchan,1
22,Barking,0
23,Barnsley Central,0
24,Barnsley East,1
25,Barrow and Furness,1
26,Basildon and Billericay,0
27,Basingstoke,0
28,Bassetlaw,1
29,Bath,0
30,Batley and Spen,0
31,Battersea,0
32,Beaconsfield,1
33,Beckenham,0
34,Bedford,0
35,Belfast East,0
36,Belfast North,0
37,Belfast South,0
38,Belfast West,0
39,Bermondsey and Old Southwark,0
40,"Berwickshire, Roxburgh and Selkirk",1
41,Berwick-Upon-Tweed,1
42,Bethnal Green and Bow,0
43,Beverley and Holderness,1
44,Bexhill and Battle,1
45,Bexleyheath and Crayford,0
46,Birkenhead,0
47,"Birmingham, Edgbaston",0
48,"Birmingham, Erdington",0
49,"Birmingham, Hall Green",0
50,"Birmingham, Hodge Hill",0
51,"Birmingham, Ladywood",0
52,"Birmingham, Northfield",0
53,"Birmingham, Perry Barr",0
54,"Birmingham, Selly Oak",0
55,"Birmingham, Yardley",0
56,Bishop Auckland,1
57,Blackburn,0
58,Blackley and Broughton,0
59,Blackpool North and Cleveleys,0
60,Blackpool South,0
61,Blaenau Gwent,1
62,Blaydon,0
63,Blyth Valley,0
64,Bognor Regis and Littlehampton,1
65,Bolsover,1
66,Bolton North East,0
67,Bolton South East,0
68,Bolton West,1
69,Bootle,0
70,Boston and Skegness,1
71,Bosworth,1
72,Bournemouth East,0
73,Bournemouth West,0
74,Bracknell,1
75,Bradford East,0
76,Bradford South,0
77,Bradford West,0
78,Braintree,1
79,Brecon and Radnorshire,1
80,Brent Central,0
81,Brent North,0
82,Brentford and Isleworth,0
83,Brentwood and Ongar,1
84,Bridgend,1
85,Bridgwater and West Somerset,1
86,Brigg and Goole,1
87,"Brighton, Kemptown",0
88,"Brighton, Pavilion",0
89,Bristol East,0
90,Bristol North West,0
91,Bristol South,0
92,Bristol West,0
93,Broadland,1
94,Bromley and Chislehurst,0
95,Bromsgrove,1
96,Broxbourne,0
97,Broxtowe,1
98,Buckingham,1
99,Burnley,0
100,Burton,1
101,Bury North,0
102,Bury South,0
103,Bury St Edmunds,1
104,Caerphilly,1
105,"Caithness, Sutherland and Easter Ross",1
106,Calder Valley,1
107,Camberwell and Peckham,0
108,Camborne and Redruth,1
109,Cambridge,0
110,Cannock Chase,1
111,Canterbury,1
112,Cardiff Central,0
113,Cardiff North,0
114,Cardiff South and Penarth,0
115,Cardiff West,0
116,Carlisle,1
117,Carmarthen East and Dinefwr,1
118,Carmarthen West and South Pembrokeshire,1
119,Carshalton and Wallington,0
120,Castle Point,0
121,Central Ayrshire,1
122,Central Devon,1
123,Central Suffolk and North Ipswich,1
124,Ceredigion,1
125,Charnwood,1
126,Chatham and Aylesford,1
127,Cheadle,0
128,Chelmsford,0
129,Chelsea and Fulham,0
130,Cheltenham,0
131,Chesham and Amersham,1
132,Chesterfield,0
133,Chichester,1
134,Chingford and Woodford Green,1
135,Chippenham,1
136,Chipping Barnet,0
137,Chorley,1
138,Christchurch,1
139,Cities Of London and Westminster,0
140,City Of Chester,1
141,City Of Durham,1
142,Clacton,1
143,Cleethorpes,1
144,Clwyd South,1
145,Clwyd West,1
146,"Coatbridge, Chryston and Bellshill",0
147,Colchester,0
148,Colne Valley,1
149,Congleton,1
150,Copeland,1
151,Corby,1
152,Coventry North East,0
153,Coventry North West,0
154,Coventry South,0
155,Crawley,0
156,Crewe and Nantwich,1
157,Croydon Central,0
158,Croydon North,0
159,Croydon South,0
160,"Cumbernauld, Kilsyth and Kirkintilloch East",1
161,Cynon Valley,1
162,Dagenham and Rainham,0
163,Darlington,0
164,Dartford,1
165,Daventry,1
166,Delyn,1
167,Denton and Reddish,0
168,Derby North,0
169,Derby South,0
170,Derbyshire Dales,1
171,Devizes,1
172,Dewsbury,1
173,Don Valley,1
174,Doncaster Central,0
175,Doncaster North,1
176,Dover,1
177,Dudley North,0
178,Dudley South,0
179,Dulwich and West Norwood,0
180,Dumfries and Galloway,1
181,"Dumfriesshire, Clydesdale and Tweeddale",1
182,Dundee East,0
183,Dundee West,0
184,Dunfermline and West Fife,1
185,Dwyfor Meirionnydd,1
186,Ealing Central and Acton,0
187,Ealing North,0
188,"Ealing, Southall",0
189,Easington,1
190,East Antrim,1
191,East Devon,1
192,East Dunbartonshire,1
193,East Ham,0
194,East Hampshire,1
195,"East Kilbride, Strathaven and Lesmahagow",1
196,East Londonderry,1
197,East Lothian,1
198,East Renfrewshire,1
199,East Surrey,1
200,East Worthing and Shoreham,1
201,East Yorkshire,1
202,Eastbourne,0
203,Eastleigh,0
204,Eddisbury,1
205,Edinburgh East,0
206,Edinburgh North and Leith,0
207,Edinburgh South,0
208,Edinburgh South West,0
209,Edinburgh West,0
210,Edmonton,0
211,Ellesmere Port and Neston,1
212,Elmet and Rothwell,1
213,Eltham,0
214,Enfield North,0
215,"Enfield, Southgate",0
216,Epping Forest,1
217,Epsom and Ewell,0
218,Erewash,1
219,Erith and Thamesmead,0
220,Esher and Walton,0
221,Exeter,0
222,Falkirk,1
223,Fareham,1
224,Faversham and Mid Kent,1
225,Feltham and Heston,0
226,Fermanagh and South Tyrone,1
227,Filton and Bradley Stoke,1
228,Finchley and Golders Green,0
229,Folkestone and Hythe,1
230,Forest Of Dean,1
231,Foyle,1
232,Fylde,1
233,Gainsborough,1
234,Garston and Halewood,0
235,Gateshead,0
236,Gedling,1
237,Gillingham and Rainham,0
238,Glasgow Central,0
239,Glasgow East,0
240,Glasgow North,0
241,Glasgow North East,0
242,Glasgow North West,0
243,Glasgow South,0
244,Glasgow South West,0
245,Glenrothes,1
246,Gloucester,0
247,Gordon,1
248,Gosport,0
249,Gower,1
250,Grantham and Stamford,1
251,Gravesham,1
252,Great Grimsby,0
253,Great Yarmouth,1
254,Greenwich and Woolwich,0
255,Guildford,1
256,Hackney North and Stoke Newington,0
257,Hackney South and Shoreditch,0
258,Halesowen and Rowley Regis,0
259,Halifax,0
260,Haltemprice and Howden,1
261,Halton,1
262,Hammersmith,0
