ID,FirstName,LastName,isSittingMP,Votes,PartyID
1,Aaron,Bell,0,23485,16
2,Aaron,Chahal,0,3357,29
3,Aaron,Hudson,0,621,23
4,Aaron,Rankin,0,1043,16
5,Abdul,Turay,0,527,8
6,Abena,Oppong-Asare,0,19882,26
7,Adam,Afriyie,1,31501,16
8,Adam,Bernard,0,3791,29
9,Adam,Boyden,0,17017,29
10,Adam,Brown,0,224,30
11,Adam,Carter,0,2090,29
12,Adam,Cleary,0,837,23
13,Adam,Colclough,0,819,20
14,Adam,Freeman,0,8270,26
15,Adam,Gannon,0,3446,46
16,Adam,Gregg,0,10377,16
17,Adam,Heatherington,0,1921,8
18,Adam,Holloway,1,29580,16
19,Adam,Imanpour,0,13211,26
20,Adam,Shakir,0,462,8
21,Adam,Thompson,0,12210,26
22,Adam,Wain,0,2681,29
23,Adam,Waller-Slack,0,1226,29
24,Adam,Wordsworth,0,22210,16
25,Adam,Zerny,0,2525,23
26,Ade,Adeyemo,0,9977,29
27,Ade,Aibinu,0,6022,16
28,Ade,Fatukasi,0,5039,29
29,Adrian,Gee-Turner,0,6048,29
30,Adrian,Heald,0,12457,26
31,Adrian,Holmes,0,1078,20
32,Adrian,Hyyrylainen-Trett,0,2439,29
33,Adrian,Kingston-Jones,0,1485,29
34,Adrian,Myers,0,429,23
35,Adrian,Pepper,0,14263,16
36,Adrian,Spurrell,0,960,20
37,Afzal,Khan,1,34583,26
38,Ahmad,Wattoo,0,6081,26
39,Ahmed,Ejaz,0,14287,16
40,Aidan,King,0,1631,29
41,Aisha,Cuthbert,0,10317,16
42,Aisha,Mir,0,4991,29
43,Akaal,Sidhu,0,6742,16
44,Akheil,Mehboob,0,288,23
45,Akil,Kata,0,119,23
46,Alan,Beal,0,3819,29
47,Alan,Black,0,344,47
48,Alan,Booth,0,3042,20
49,Alan,Borgars,0,508,20
50,Alan,Brown,1,24216,43
51,Alan,Bullion,0,2503,29
52,Alan,Butcher,0,10018,26
53,Alan,Campbell,1,26928,26
54,Alan,Chambers,0,4936,64
55,Alan,Dorkins,0,261,23
56,Alan,Francis,0,1495,20
57,Alan,Graves,0,1908,8
58,Alan,Graves,0,1177,8
59,Alan,Hilliar,0,6920,29
60,Alan,Hope,0,576,33
61,Alan,Love,0,315,63
62,Alan,Mackenzie,0,7110,26
63,Alan,Mak,1,30051,16
64,Alan,McCarthy,0,1240,8
65,Alan,Reid,0,6832,29
66,Alan,Stone,0,746,23
67,Alan,Victor,0,812,23
68,Alan,Whitehead,1,22256,26
69,Alana,Bates,0,3553,26
70,Alasdair,Keddie,0,2049,20
71,Alasdair,Pinkerton,0,16009,29
72,Alastair,McQuillan,0,2875,20
73,Alberto,Costa,1,36791,16
74,Alec,Sandiford,0,4412,29
75,Alec,Shelbrooke,1,33726,16
76,Aled,ap Dafydd,0,10418,37
77,Alex,Armitage,0,4989,20
78,Alex,Beverley,0,11856,26
79,Alex,Burghart,1,36308,16
80,Alex,Chalk,1,28486,16
81,Alex,Cunliffe,0,1947,29
82,Alex,Cunningham,1,17728,26
83,Alex,Davies-Jones,0,17381,26
84,Alex,Easton,0,15390,18
85,Alex,Ehmann,0,11584,29
86,Alex,Feakes,0,6260,29
87,Alex,Harris,0,815,20
88,Alex,Hegenbarth,0,13318,29
89,Alex,Horn,0,1744,20
90,Alex,Martin,0,966,61
91,Alex,Matthews,0,1617,8
92,Alex,Nettle,0,931,20
93,Alex,Norris,1,17337,27
94,Alex,Phillips,0,4018,16
95,Alex,Sobel,1,23971,27
96,Alex,White,0,16666,29
97,Alex,Yip,0,15603,16
